AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,A_MEAN,A_MEDIAN,A_PCT10,A_PCT90,H_MEAN,H_MEDIAN
1,Alabama,11-0000,Management Occupations,110240.0,52.708,0.74,118670.0,100640.0,51100.0,203900.0,57.05,48.39
1,Alabama,11-3031,Financial Managers,6390.0,3.054,0.58,153650.0,138040.0,84440.0,,73.87,66.37
1,Alabama,13-1161,Market Research Analysts and Marketing Specialists,8780.0,4.199,0.75,66840.0,55390.0,33790.0,114110.0,32.13,26.63
1,Alabama,13-2011,Accountants and Auditors,25420.0,12.156,1.29,80760.0,71070.0,48600.0,123410.0,38.83,34.17
1,Alabama,15-0000,Computer and Mathematical Occupations,57260.0,27.377,0.81,101140.0,98000.0,48130.0,162470.0,48.63,47.12
1,Alabama,15-1211,Computer Systems Analysts,6830.0,3.268,1.01,112430.0,103730.0,65690.0,165490.0,54.06,49.87
1,Alabama,15-1212,Information Security Analysts,3290.0,1.572,1.35,112800.0,111110.0,61020.0,165120.0,54.23,53.42
1,Alabama,15-1252,Software Developers,18020.0,8.616,0.8,117380.0,113020.0,63670.0,176060.0,56.43,54.34
1,Alabama,23-1011,Lawyers,5810.0,2.779,0.57,139470.0,127660.0,61190.0,217010.0,67.05,61.38
1,Alabama,23-2011,Paralegals and Legal Assistants,5480.0,2.619,1.1,49800.0,46060.0,30300.0,73300.0,23.94,22.15
1,Alabama,25-2021,"Elementary School Teachers, Except Special Education",16910.0,8.084,0.89,56220.0,59850.0,45510.0,70920.0,,
1,Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",16480.0,7.879,1.13,58850.0,60530.0,46480.0,72940.0,,
1,Alabama,29-1051,Pharmacists,5880.0,2.811,1.32,129100.0,133930.0,86780.0,160300.0,62.07,64.39
1,Alabama,29-1141,Registered Nurses,53340.0,25.503,1.2,74970.0,71040.0,53360.0,98840.0,36.04,34.16
1,Alabama,29-2034,Radiologic Technologists and Technicians,3740.0,1.79,1.24,58270.0,56790.0,39470.0,79060.0,28.02,27.3
1,Alabama,31-9092,Medical Assistants,12760.0,6.099,1.19,34860.0,34980.0,28280.0,43530.0,16.76,16.82
1,Alabama,33-9032,Security Guards,15050.0,7.198,0.89,34640.0,31210.0,23350.0,46400.0,16.66,15.01
1,Alabama,35-3031,Waiters and Waitresses,28540.0,13.648,0.91,24420.0,21920.0,15950.0,35560.0,11.74,10.54
1,Alabama,41-1011,First-Line Supervisors of Retail Sales Workers,24440.0,11.687,1.62,47890.0,42670.0,27510.0,74670.0,23.03,20.52
1,Alabama,41-2031,Retail Salespersons,60330.0,28.847,1.17,32840.0,29430.0,21760.0,45010.0,15.79,14.15
2,Alaska,11-0000,Management Occupations,26000.0,80.989,1.14,129630.0,114780.0,66490.0,197760.0,62.32,55.19
2,Alaska,11-3031,Financial Managers,2090.0,6.516,1.23,134970.0,122770.0,82880.0,199210.0,64.89,59.03
2,Alaska,13-1161,Market Research Analysts and Marketing Specialists,410.0,1.266,0.23,68720.0,62960.0,44640.0,94840.0,33.04,30.27
2,Alaska,13-2011,Accountants and Auditors,2440.0,7.612,0.81,89580.0,81950.0,56020.0,128150.0,43.07,39.4
2,Alaska,15-0000,Computer and Mathematical Occupations,5140.0,15.998,0.48,91900.0,86430.0,53490.0,136880.0,44.18,41.55
2,Alaska,15-1211,Computer Systems Analysts,490.0,1.524,0.47,91780.0,84800.0,58600.0,128250.0,44.13,40.77
2,Alaska,15-1212,Information Security Analysts,210.0,0.646,0.56,111900.0,102170.0,85010.0,159930.0,53.8,49.12
2,Alaska,15-1252,Software Developers,430.0,1.352,0.13,132940.0,119600.0,92980.0,196500.0,63.91,57.5
2,Alaska,23-1011,Lawyers,1040.0,3.224,0.66,140520.0,132710.0,83570.0,195830.0,67.56,63.8
2,Alaska,23-2011,Paralegals and Legal Assistants,690.0,2.159,0.91,66560.0,61120.0,45840.0,95410.0,32.0,29.39
2,Alaska,25-2021,"Elementary School Teachers, Except Special Education",3380.0,10.539,1.17,77460.0,76290.0,60390.0,95510.0,,
2,Alaska,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2780.0,8.673,1.25,80190.0,77730.0,61630.0,96440.0,,
2,Alaska,29-1051,Pharmacists,510.0,1.574,0.74,158430.0,163200.0,123220.0,183920.0,76.17,78.46
2,Alaska,29-1141,Registered Nurses,7040.0,21.92,1.03,112040.0,110690.0,82400.0,137400.0,53.86,53.22
2,Alaska,29-2034,Radiologic Technologists and Technicians,360.0,1.131,0.78,90530.0,85870.0,71300.0,113880.0,43.52,41.29
