SOC,Skill,Importance
11-1011.00,Reading Comprehension,4.12
11-1011.00,Active Listening,4.0
11-1011.00,Writing,4.12
11-1011.00,Speaking,4.25
11-1011.00,Mathematics,3.25
11-1011.00,Science,1.62
11-1011.00,Critical Thinking,4.38
11-1011.00,Active Learning,3.75
11-1011.00,Learning Strategies,3.12
11-1011.00,Monitoring,4.0
11-1011.00,Social Perceptiveness,4.12
11-1011.00,Coordination,4.25
11-1011.00,Persuasion,4.0
11-1011.00,Negotiation,4.12
11-1011.00,Instructing,3.38
11-1011.00,Service Orientation,3.12
11-1011.00,Complex Problem Solving,4.38
11-1011.00,Operations Analysis,3.12
11-1011.00,Technology Design,1.75
11-1011.00,Equipment Selection,1.12
11-1011.00,Installation,1.0
11-1011.00,Programming,1.75
11-1011.00,Operations Monitoring,2.0
11-1011.00,Operation and Control,1.88
11-1011.00,Equipment Maintenance,1.0
11-1011.00,Troubleshooting,1.5
11-1011.00,Repairing,1.0
11-1011.00,Quality Control Analysis,1.88
11-1011.00,Judgment and Decision Making,4.75
11-1011.00,Systems Analysis,4.12
11-1011.00,Systems Evaluation,4.25
11-1011.00,Time Management,4.0
11-1011.00,Management of Financial Resources,4.25
11-1011.00,Management of Material Resources,4.0
11-1011.00,Management of Personnel Resources,4.25
11-1011.03,Reading Comprehension,4.0
11-1011.03,Active Listening,4.0
11-1011.03,Writing,4.12
11-1011.03,Speaking,4.0
11-1011.03,Mathematics,2.88
11-1011.03,Science,2.12
11-1011.03,Critical Thinking,4.12
11-1011.03,Active Learning,3.75
11-1011.03,Learning Strategies,3.38
11-1011.03,Monitoring,3.75
11-1011.03,Social Perceptiveness,3.88
11-1011.03,Coordination,3.75
11-1011.03,Persuasion,3.88
11-1011.03,Negotiation,3.12
11-1011.03,Instructing,3.25
11-1011.03,Service Orientation,3.25
11-1011.03,Complex Problem Solving,4.0
11-1011.03,Operations Analysis,2.88
11-1011.03,Technology Design,1.88
11-1011.03,Equipment Selection,1.12
11-1011.03,Installation,1.0
11-1011.03,Programming,1.88
11-1011.03,Operations Monitoring,2.0
11-1011.03,Operation and Control,2.0
11-1011.03,Equipment Maintenance,1.0
11-1011.03,Troubleshooting,1.0
11-1011.03,Repairing,1.0
11-1011.03,Quality Control Analysis,1.88
11-1011.03,Judgment and Decision Making,3.88
11-1011.03,Systems Analysis,3.88
11-1011.03,Systems Evaluation,3.88
11-1011.03,Time Management,3.38
11-1011.03,Management of Financial Resources,2.88
11-1011.03,Management of Material Resources,2.25
11-1011.03,Management of Personnel Resources,3.12
11-1021.00,Reading Comprehension,4.0
11-1021.00,Active Listening,4.0
11-1021.00,Writing,3.5
11-1021.00,Speaking,4.0
11-1021.00,Mathematics,2.62
11-1021.00,Science,1.5
11-1021.00,Critical Thinking,3.88
11-1021.00,Active Learning,3.62
11-1021.00,Learning Strategies,3.0
11-1021.00,Monitoring,4.0
11-1021.00,Social Perceptiveness,3.75
11-1021.00,Coordination,3.88
11-1021.00,Persuasion,3.62
11-1021.00,Negotiation,3.5
11-1021.00,Instructing,3.0
11-1021.00,Service Orientation,3.25
11-1021.00,Complex Problem Solving,3.62
11-1021.00,Operations Analysis,2.5
11-1021.00,Technology Design,1.5
11-1021.00,Equipment Selection,1.0
11-1021.00,Installation,1.0
11-1021.00,Programming,1.5
11-1021.00,Operations Monitoring,2.25
11-1021.00,Operation and Control,1.88
11-1021.00,Equipment Maintenance,1.0
11-1021.00,Troubleshooting,1.75
11-1021.00,Repairing,1.0
11-1021.00,Quality Control Analysis,2.38
11-1021.00,Judgment and Decision Making,3.62
11-1021.00,Systems Analysis,3.12
11-1021.00,Systems Evaluation,3.12
11-1021.00,Time Management,3.62
11-1021.00,Management of Financial Resources,3.0
11-1021.00,Management of Material Resources,3.12
11-1021.00,Management of Personnel Resources,3.75
11-2011.00,Reading Comprehension,3.75
11-2011.00,Active Listening,4.12
11-2011.00,Writing,3.75
11-2011.00,Speaking,4.0
11-2011.00,Mathematics,3.0
11-2011.00,Science,1.62
11-2011.00,Critical Thinking,4.0
11-2011.00,Active Learning,3.25
11-2011.00,Learning Strategies,3.0
11-2011.00,Monitoring,3.25
11-2011.00,Social Perceptiveness,4.0
11-2011.00,Coordination,3.5
11-2011.00,Persuasion,3.38
11-2011.00,Negotiation,3.12
11-2011.00,Instructing,2.88
11-2011.00,Service Orientation,3.12
11-2011.00,Complex Problem Solving,3.5
11-2011.00,Operations Analysis,2.75
11-2011.00,Technology Design,1.75
11-2011.00,Equipment Selection,1.12
11-2011.00,Installation,1.0
11-2011.00,Programming,1.75
11-2011.00,Operations Monitoring,1.62
11-2011.00,Operation and Control,1.0
11-2011.00,Equipment Maintenance,1.0
11-2011.00,Troubleshooting,1.0
11-2011.00,Repairing,1.0
11-2011.00,Quality Control Analysis,1.62
11-2011.00,Judgment and Decision Making,3.75
11-2011.00,Systems Analysis,3.12
11-2011.00,Systems Evaluation,3.12
11-2011.00,Time Management,3.5
11-2011.00,Management of Financial Resources,2.75
11-2011.00,Management of Material Resources,2.62
11-2011.00,Management of Personnel Resources,3.12
11-2021.00,Reading Comprehension,3.88
11-2021.00,Active Listening,3.88
11-2021.00,Writing,3.25
11-2021.00,Speaking,3.88
11-2021.00,Mathematics,2.75
11-2021.00,Science,1.75
11-2021.00,Critical Thinking,3.88
11-2021.00,Active Learning,3.88
11-2021.00,Learning Strategies,3.12
11-2021.00,Monitoring,3.75
11-2021.00,Social Perceptiveness,3.88
11-2021.00,Coordination,3.5
11-2021.00,Persuasion,3.75
11-2021.00,Negotiation,3.62
11-2021.00,Instructing,3.0
